变体,full_sh,full_ann,full_mdd,full_end,oos_sh,oos_ann,oos_mdd,oos_end
base（月频6m-skip1 top10）,1.233,0.4243,-0.3964,686392.0,1.254,0.4951,-0.3734,127967.0
vol25 波动率目标,1.204,0.3179,-0.3964,315674.0,1.338,0.3654,-0.2963,84192.0
板块分散 top10(max3/簇),1.178,0.2889,-0.3094,252868.0,0.923,0.231,-0.2457,52180.0
风险平价权重 top10,1.158,0.3769,-0.3871,489122.0,1.181,0.4379,-0.3704,106881.0
top15 更分散,1.134,0.3552,-0.3911,417442.0,1.027,0.3642,-0.3527,83836.0
SPY>200ma才满仓,1.022,0.2981,-0.3617,271365.0,0.751,0.2567,-0.3617,57409.0
多周期动量(3/6/9合成),0.607,0.2132,-0.4936,138097.0,0.599,0.2086,-0.4137,47953.0
