变体,full_sh,full_ann,full_mdd,full_end,oos_sh,oos_ann,oos_mdd,oos_end
accel: 动量+近1月加速,1.564,0.538,-0.375,1479026.0,1.576,0.6238,-0.375,187370.0
topheavy: 前5各18%/后5各2%,1.41,0.5471,-0.4126,1568817.0,1.318,0.5797,-0.3877,164976.0
rank_w: 按排名线性加权,1.368,0.5142,-0.4214,1264783.0,1.297,0.5548,-0.4075,153308.0
mom20: 动量>0.2才持仓(常空仓),1.268,0.438,-0.3964,754827.0,1.279,0.5053,-0.3734,132066.0
base: 等权top10,1.256,0.4334,-0.3964,731402.0,1.254,0.4951,-0.3734,127967.0
