period,skip,top,full_sh,full_ann,full_mdd,full_end,is_sh,is_ann,oos_sh,oos_ann,oos_mdd,oos_end
12,0,10,1.1878032034375936,0.4236032092238313,-0.41286059505155326,678058.9631723785,0.8999961797969926,0.2942585231133752,1.5759421489126746,0.6336098468400573,-0.37679815873606826,190764.42120126277
9,0,10,1.3411764780408988,0.4640616555085575,-0.3582888033482545,896771.4428425282,1.339883058539937,0.4234300453050066,1.451985691172274,0.5680687444699806,-0.35476236776794556,158044.40943567504
12,0,20,1.1048526647951877,0.33301736050529573,-0.3828111831876613,351897.16601287486,0.8483338989716783,0.24299240986421644,1.4477859722207684,0.47890479790053986,-0.33275670941867075,120766.29947557075
12,1,10,1.0402829202375703,0.36874738793633477,-0.40988402083660747,458160.0702234998,0.844377358369198,0.2735473457580968,1.3134783803380685,0.5261424135354726,-0.3508126605691907,139538.16880326899
6,0,10,1.2551382146987922,0.4210684978890704,-0.40376996732107984,666110.7253041368,1.3670343068776845,0.41384949161521667,1.2561751244357493,0.48047544775442885,-0.4037699673210797,121356.8023760005
6,1,10,1.3309579878083295,0.45667321299874897,-0.40131689374988055,852632.2608418777,1.5399194689694353,0.47734679655273804,1.254662742712183,0.4904561673005359,-0.39956919590428697,125162.15292146892
9,1,10,1.2311375732071286,0.43174076995025046,-0.3696837037593469,717732.9076586287,1.3387354844739536,0.43358188155099997,1.2265533397330766,0.4825699675569304,-0.36968370375934667,122147.77208195938
9,0,20,1.1218774877992188,0.3329107832767251,-0.357396858656171,351616.5882257784,1.1320539255946747,0.3165966258077342,1.1905576008625525,0.39037825752261446,-0.32665249184518963,90941.07041140967
3,0,10,1.2982367699081983,0.4040735044686148,-0.40082919736377287,590770.9811515703,1.5339589263659534,0.4361740872265649,1.1808973903317257,0.413407381471006,-0.3092183866854623,98071.82795480116
6,0,20,1.2008545261470667,0.34402980303688446,-0.35722395069701607,381998.4769074217,1.3674547188950748,0.3686746680982107,1.129991489716704,0.3581243652918735,-0.3248888990133557,81642.9779710982
12,1,20,0.9097769528855996,0.275140394960643,-0.38783411966246106,225993.91667642846,0.7687864311494101,0.2222740391307334,1.1121265596861274,0.36741050983556667,-0.3270888058839875,84239.90341848922
9,1,20,1.0937373989076276,0.329610000399319,-0.37880570804436675,343025.89707637404,1.1893305577295228,0.3389326426303976,1.0786210239516694,0.3582452673026164,-0.3308412807108808,81676.38134520194
3,1,10,1.2615968628420424,0.4002632759896796,-0.405937882510495,574970.8161334146,1.6090710927495893,0.46888841932138114,1.0248264816106294,0.3653706392923921,-0.3614269645548698,83663.97979918981
6,1,20,1.1183539591952272,0.3284987600507925,-0.3770081061586201,340176.5398413447,1.3812356444301908,0.3811600695803452,0.9572941913996786,0.3114789309010817,-0.3567731373231955,69529.84963533557
3,1,20,1.1747106859931902,0.31544230698102993,-0.4131914877505538,308257.0422759268,1.58311061685398,0.4086176918131208,0.8683552099807849,0.2527297402604096,-0.3195798988400481,56325.880861659534
3,0,20,1.09856310912965,0.2864157709650883,-0.37173788792200224,246739.81506159442,1.5051945979794166,0.3714483108479787,0.7866842785690443,0.22442173367962837,-0.3109777521064797,50710.047051099595
