year,return
2016,0.0
2017,40.41160211321548
2018,23.250873484617806
2019,40.46365029210086
2020,104.55404757075151
2021,37.00099068131979
2022,5.10557486426626
2023,55.9448595754682
2024,36.01811116115352
2025,53.15830587305417
2026,83.27740207485239
