strategy,filter,sharpe,ann,mdd,vol,calmar,active,final
Mom6_top10,none,1.47793729140968,40.12321899109534,-30.53240401543671,27.148120034798755,1.3141192213626436,98.30508474576271,"$105,044"
Mom6_top10,SPY12-1>0,1.1066885762514334,29.73639042486984,-30.53240401543671,26.86970035020394,0.9739288923936544,79.66101694915254,"$71,931"
Mom6_top10,SPY6-1>0,0.9801041431271378,25.189051565505373,-30.60214736416781,25.70038270130839,0.8231138575261991,79.66101694915254,"$60,357"
Mom6_top10,SPY>200dSMA,1.030865673459675,20.362635394788065,-15.091128950440869,19.752947371357592,1.3493116029727648,52.54237288135594,"$49,749"
Mom6_top10,SPY10mSMA,1.1894620351903957,30.81397667305057,-30.56030346765167,25.905809316661554,1.0083007423557626,81.35593220338984,"$74,917"
Mom6_top20,none,1.6274085500876527,35.930141659923166,-22.662607320910265,22.078132536533595,1.5854372425529013,98.30508474576271,"$90,469"
Mom6_top20,SPY12-1>0,1.1549572202867247,25.060824179275887,-22.662607320910244,21.698486956126736,1.1058226365751334,79.66101694915254,"$60,054"
Mom6_top20,SPY6-1>0,1.1229844932517135,23.769537105728112,-22.710213722724383,21.166398332804263,1.0466452405925069,79.66101694915254,"$57,066"
Mom6_top20,SPY>200dSMA,1.0713674875680086,15.594688553823822,-12.514019190335524,14.55587250386287,1.2461774523941496,52.54237288135594,"$40,783"
Mom6_top20,SPY10mSMA,1.381643068280045,26.964939694010283,-21.409995684442794,19.51657436936872,1.2594556342486276,81.35593220338984,"$64,686"
Mom9-1_top10,none,1.5686931302666467,42.27536856043641,-24.953537123053525,26.949419070414642,1.6941633705860468,91.52542372881356,"$113,219"
Mom9-1_top10,SPY12-1>0,1.140660962082187,30.302665473742184,-24.953537123053525,26.5658828355334,1.2143635318836954,79.66101694915254,"$73,488"
Mom9-1_top10,SPY6-1>0,0.9818820532460057,25.713321838605374,-25.01859254290015,26.18779083862431,1.027768520331987,74.57627118644068,"$61,610"
Mom9-1_top10,SPY>200dSMA,1.2946921112950163,22.04634774915599,-10.86054114131576,17.028255256073297,2.029949287267749,50.847457627118644,"$53,265"
Mom9-1_top10,SPY10mSMA,1.2813577491325527,30.17676165424328,-26.04111269862579,23.550613928602058,1.1588122982101194,79.66101694915254,"$73,140"
Mom9-1_top20,none,1.4381901233235692,32.847736212606634,-20.927654475424173,22.839634120624837,1.5695851750219065,91.52542372881356,"$80,820"
Mom9-1_top20,SPY12-1>0,1.0187994072222242,22.811659983387855,-20.927654475424195,22.39072757765366,1.090024685287885,79.66101694915254,"$54,928"
Mom9-1_top20,SPY6-1>0,0.9326748848037801,20.524779429131314,-20.98577595962714,22.00636016209378,0.9780329051743094,74.57627118644068,"$50,079"
Mom9-1_top20,SPY>200dSMA,1.0910433172155019,15.515608240537592,-9.129397729641974,14.220891137609126,1.699521556625846,50.847457627118644,"$40,646"
Mom9-1_top20,SPY10mSMA,1.1856028199933994,22.78687120152083,-22.772569769363237,19.219649968146747,1.0006280113444568,79.66101694915254,"$54,873"
Mom12-1_top10,none,0.9292839529319205,26.6274402086496,-28.719629574660168,28.653717870236733,0.927151241259165,86.4406779661017,"$63,845"
Mom12-1_top10,SPY12-1>0,0.6857071848459922,19.250674847426218,-28.719629574660168,28.07419153957073,0.670296766794354,79.66101694915254,"$47,529"
Mom12-1_top10,SPY6-1>0,0.4873252291043694,13.111250384085915,-28.772976798577233,26.904517970847568,0.45567931590360305,69.49152542372882,"$36,652"
Mom12-1_top10,SPY>200dSMA,0.6093607110768171,9.812247411216536,-11.901781752165608,16.102527177830446,0.8244351657205554,45.76271186440678,"$31,688"
Mom12-1_top10,SPY10mSMA,0.6866630698828515,16.076585345094728,-32.3985651953262,23.412625565894324,0.49621288005105635,74.57627118644068,"$41,625"
Mom12-1_top20,none,0.9346660711224977,21.416784370060494,-25.267652090386406,22.913835252776177,0.8475969311849496,86.4406779661017,"$51,928"
Mom12-1_top20,SPY12-1>0,0.6906448196835026,15.447975683500136,-25.267652090386406,22.367467681259644,0.6113736103473435,79.66101694915254,"$40,529"
Mom12-1_top20,SPY6-1>0,0.46857598204766987,10.020180674632929,-25.26723712906612,21.384324119313355,0.3965681179722745,69.49152542372882,"$31,984"
Mom12-1_top20,SPY>200dSMA,0.6592180496554947,8.2990630189266,-7.336278914703298,12.589253318023777,1.1312360278851585,45.76271186440678,"$29,598"
Mom12-1_top20,SPY10mSMA,0.6785501959910437,12.411031267623663,-27.111977307947065,18.290513127767895,0.45776931452305913,74.57627118644068,"$35,550"
