date,ret
2021-01-04,0.016059788869764655
2021-01-05,0.00862388517783239
2021-01-06,0.03263548745319722
2021-01-07,0.03870823664542403
2021-01-08,0.012455704112222188
2021-01-11,-0.025996625330502093
2021-01-12,0.021930575831130193
2021-01-13,-0.004018405922569845
2021-01-14,0.03257111943165584
2021-01-15,-0.027334686631640383
2021-01-19,0.009606260136308999
2021-01-20,0.006299177823130521
2021-01-21,-0.012111544138864182
2021-01-22,0.013557844245847973
2021-01-25,-0.010202473402776436
2021-01-26,-0.01913012593424748
2021-01-27,-0.032670131110616965
2021-01-28,0.04204550574898779
2021-01-29,-0.02433719934561931
2021-02-01,0.028337487856243695
2021-02-02,0.029199517377883302
2021-02-03,0.010226490639873742
2021-02-04,0.026312935180211203
2021-02-05,0.020667054018110267
2021-02-08,0.04648091883470635
2021-02-09,0.02309158337556624
2021-02-10,-0.03651718953286285
2021-02-11,0.010170510767634068
2021-02-12,0.009830979276051345
2021-02-16,-0.007711453778733479
2021-02-17,-0.01244530198005275
2021-02-18,-0.022778112195948788
2021-02-19,0.038413678633118904
2021-02-22,-0.02852471579864564
2021-02-23,-0.03729301295566563
2021-02-24,0.026228440775936487
2021-02-25,-0.04973712794189696
2021-02-26,0.014484382051421317
2021-03-01,0.038450835040513574
2021-03-02,-0.0042617262800825565
2021-03-03,-0.01954930635450468
2021-03-04,-0.04282408707311352
2021-03-05,0.012483032366250103
2021-03-08,0.0030040145077364754
2021-03-09,0.0342122052465929
2021-03-10,0.02666864345791816
2021-03-11,0.03901085799092378
2021-03-12,0.007115408677521185
2021-03-15,0.010348193837850673
2021-03-16,-0.03027304984235018
2021-03-17,0.021700209336190657
2021-03-18,-0.022606476269762043
2021-03-19,0.009901680101262501
2021-03-22,-0.01673218598446117
2021-03-23,-0.04753379235829429
2021-03-24,-0.03735903436476225
2021-03-25,0.006522006769716925
2021-03-26,-0.018333776909293435
2021-03-29,-0.017150567020593213
2021-03-30,0.028365961631107585
2021-03-31,0.01346686343335426
2021-04-01,0.024213087466262967
2021-04-05,-0.0018878082444488743
2021-04-06,0.0023169722149823163
2021-04-07,-0.00862420506874728
2021-04-08,0.0018867610603756635
2021-04-09,0.0061144349276873065
2021-04-12,-0.0030781360025075146
2021-04-13,0.0053783795827892725
2021-04-14,0.0047358978831145825
2021-04-15,0.0008725249375676539
2021-04-16,-0.011535336431716768
2021-04-19,-0.01877376163050525
2021-04-20,-0.03070761476996244
2021-04-21,0.024682958861503648
2021-04-22,-0.020375872846694055
2021-04-23,0.021375273756927205
2021-04-26,0.027053088075356876
2021-04-27,0.01006716676080951
2021-04-28,0.01148963958126237
2021-04-29,-0.005679334960273475
2021-04-30,-0.014895176285083233
2021-05-03,0.01587539873926395
2021-05-04,-0.014953234147531238
2021-05-05,0.028127076001944237
2021-05-06,-0.008425110362163524
2021-05-07,0.029732931005175645
2021-05-10,-0.025653951237138373
2021-05-11,-0.020299231868483758
2021-05-12,-0.02258114856856798
2021-05-13,-0.015785351773892377
2021-05-14,0.03990094096982264
2021-05-17,0.0019238815268813334
2021-05-18,-0.01931638324724953
2021-05-19,-0.022645044586320273
2021-05-20,0.006682903638838577
2021-05-21,-0.005526674030619072
2021-05-24,0.013718906068403014
2021-05-25,-0.011774292399804622
2021-05-26,0.01792381861764485
2021-05-27,0.0244618872939741
2021-05-28,-0.00726280917753015
2021-06-01,0.05346668923763634
2021-06-02,0.005599835036212496
2021-06-03,-0.0072275446467389365
2021-06-04,0.016304298370729033
2021-06-07,-0.0003657759353451473
2021-06-08,9.361059210161182e-05
2021-06-09,-0.005635894434665679
2021-06-10,-0.005014327072100066
2021-06-11,0.009876006178781194
2021-06-14,0.006916957606331595
2021-06-15,0.017525537414798786
2021-06-16,0.00020121596367634904
2021-06-17,-0.039190384675234016
2021-06-18,-0.014110529915010238
2021-06-21,0.030728566193195098
2021-06-22,-0.0030528212700412175
2021-06-23,0.010365032940158768
2021-06-24,0.017091680579499925
2021-06-25,-0.00184221982449142
2021-06-28,-0.009461722005388553
2021-06-29,0.007364273560883593
2021-06-30,0.014430303414134472
2021-07-01,0.01953225163937281
2021-07-02,-0.005382111458773597
2021-07-06,-0.029731426263514438
2021-07-07,-0.0021619530499303757
2021-07-08,-0.015513588905596386
2021-07-09,0.03433018926673466
2021-07-12,0.01047324787275983
2021-07-13,-0.00980925350207116
2021-07-14,-0.026880580393530404
2021-07-15,-0.01067574722371065
2021-07-16,-0.026870806409973594
2021-07-19,-0.029997472443554777
2021-07-20,0.026888407761193035
2021-07-21,0.028795126195608936
2021-07-22,-0.003741858170493129
2021-07-23,-0.002885004187260887
2021-07-26,0.02095920498484144
2021-07-27,-0.013961972691354173
2021-07-28,0.008098645840084063
2021-07-29,0.01764478740996065
2021-07-30,-0.0077927953337252566
2021-08-02,-0.015247522887748721
2021-08-03,0.01799349233189698
2021-08-04,-0.013757801884592667
2021-08-05,0.022433495330213802
2021-08-06,0.01758585930414427
2021-08-09,0.0013871336924028204
2021-08-10,0.022208254874853006
2021-08-11,0.006065912119458517
2021-08-12,0.0012032681148113288
2021-08-13,-0.01982212401978644
2021-08-16,-0.0261960246626676
2021-08-17,-0.024856697327114312
2021-08-18,-0.01782989835099878
2021-08-19,-0.020724686872223598
2021-08-20,0.009739911310600058
2021-08-23,0.034593369494979244
2021-08-24,0.02163900015149654
2021-08-25,0.01388273927440753
2021-08-26,-0.018394514182449133
2021-08-27,0.0384757489120519
2021-08-30,-0.009126282535055673
2021-08-31,-0.00676575686138825
2021-09-01,-0.000524483409762327
2021-09-02,0.006134174018151249
2021-09-03,6.046187037884792e-05
2021-09-07,-0.014706830846418883
2021-09-08,-0.00204536309547283
2021-09-09,0.005251095844907494
2021-09-10,-0.005661518870193284
2021-09-13,-0.010310474105284762
2021-09-14,-0.008489996296932624
2021-09-15,0.022955641134689488
2021-09-16,0.0017338862855911575
2021-09-17,-0.011523190367244363
2021-09-20,-0.039214714468135535
2021-09-21,0.003395896430882939
2021-09-22,0.011889788414370652
2021-09-23,0.01792479011347621
2021-09-24,-0.0033836041418723213
2021-09-27,0.0006594534165903602
2021-09-28,-0.024904974173917738
2021-09-29,-0.012345445640133868
2021-09-30,-0.008505245986867306
2021-10-01,0.0023643655923423932
2021-10-04,-0.024645941577637144
2021-10-05,0.02211445107176591
2021-10-06,-0.005999814127936721
2021-10-07,0.017942963114983692
2021-10-08,-0.008874726117782917
2021-10-11,-0.0019537610557765596
2021-10-12,0.002281891680003778
2021-10-13,0.005076094190917113
2021-10-14,0.01790632692286469
2021-10-15,0.0034819351158192897
2021-10-18,0.015043566192872082
2021-10-19,0.013325555907151777
2021-10-20,0.0028020240918652855
2021-10-21,-0.0009620624701284343
2021-10-22,0.014261917410636114
2021-10-25,0.017259195051052726
2021-10-26,0.008227019897137745
2021-10-27,-0.016317401448363404
2021-10-28,0.01854359716640353
2021-10-29,0.015560492384194182
2021-11-01,0.004306781363569472
2021-11-02,0.017414003527456992
2021-11-03,-0.007881187004852254
2021-11-04,0.02245855323167647
2021-11-05,-0.002285673154446855
2021-11-08,0.01967361224914659
2021-11-09,0.00012444220909237883
2021-11-10,-0.03357524790898099
2021-11-11,0.016064810543863106
2021-11-12,0.006250465293307439
2021-11-15,-0.001032052011646678
2021-11-16,0.010203260914046242
2021-11-17,-0.005217486037046127
2021-11-18,0.014751884459826302
2021-11-19,-0.0015939493424506177
2021-11-22,-0.013276350849412644
2021-11-23,-0.0018092608018601799
2021-11-24,0.01801723706214713
2021-11-26,-0.024697333231326796
2021-11-29,0.022577877883242052
2021-11-30,-0.02952957651342916
2021-12-01,-0.029867583227348598
2021-12-02,0.020535171508722264
2021-12-03,-0.03810958931178683
2021-12-06,-0.0011049593558938422
2021-12-07,0.044190788156603523
2021-12-08,-0.00121738048002884
2021-12-09,-0.02839327180224061
2021-12-10,0.011615808593701918
2021-12-13,-0.028808422123772097
2021-12-14,-0.016808453104153912
2021-12-15,0.023643945328601524
2021-12-16,-0.02882410367774111
2021-12-17,0.0041424222652510344
2021-12-20,-0.029057726419746202
2021-12-21,0.04082265653734578
2021-12-22,0.025219605214063367
2021-12-23,0.01205404248432548
2021-12-27,0.02688375661256768
2021-12-28,-0.015748781483619457
2021-12-29,-0.004094823792759449
2021-12-30,-0.005584089845677143
2021-12-31,-4.117139010280119e-05
2022-01-03,0.034422812708325576
2022-01-04,0.01091084328282109
2022-01-05,-0.03468510392660188
2022-01-06,0.013336114843618763
2022-01-07,-0.018534249187245257
2022-01-10,-0.0034161486501861696
2022-01-11,0.019400152446422837
2022-01-12,0.004339005240282579
2022-01-13,-0.023555502417056187
2022-01-14,0.012711153510327679
2022-01-18,-0.020558244196539233
2022-01-19,-0.028312547448010553
2022-01-20,-0.030776331555672044
2022-01-21,-0.026881278497720144
2022-01-24,0.013160862311876178
2022-01-25,-0.0034644424595470236
2022-01-26,0.0021676395836962127
2022-01-27,-0.025816648807970632
2022-01-28,0.014599194380783498
2022-01-31,0.038608438985649605
2022-02-01,0.010125996117495368
2022-02-02,0.016732377719001545
2022-02-03,-0.0436033046619061
2022-02-04,-0.0012274414954084331
2022-02-07,0.009857757767689424
2022-02-08,0.025698102600283178
2022-02-09,0.029919442913003948
2022-02-10,-0.033112466052682255
2022-02-11,-0.04224250572860777
2022-02-14,0.0013584807625552702
2022-02-15,0.0557377243686893
2022-02-16,0.0010534467858531078
2022-02-17,-0.03369453278064385
2022-02-18,0.004571954531029188
2022-02-22,-0.019499629961499017
2022-02-23,-0.02671603182305955
2022-02-24,0.034589601492071256
2022-02-25,0.026200563015599632
2022-02-28,-0.0014342302770331001
2022-03-01,-0.010557731270368452
2022-03-02,0.02251656019853181
2022-03-03,-0.00047802358102115865
2022-03-04,0.0029218486557658022
2022-03-07,-0.01928626413559422
2022-03-08,-0.003923950238427955
2022-03-09,0.013501623271030739
2022-03-10,0.01214941888054857
2022-03-11,-0.020927433952892118
2022-03-14,-0.02870391329973017
2022-03-15,0.012317586401726678
2022-03-16,0.011268286579046216
2022-03-17,0.026873100675854723
2022-03-18,0.009299542646101156
2022-03-21,0.012695045697144358
2022-03-22,0.0004991896110583818
2022-03-23,-0.008482909470559064
2022-03-24,0.016407148735174695
2022-03-25,0.0103984065023944
2022-03-28,-0.009355232730756426
2022-03-29,0.014817456206017533
2022-03-30,-0.00971271798678265
2022-03-31,-0.004848549917819212
2022-04-01,0.002842312350827148
2022-04-04,0.006973328379584065
2022-04-05,-0.021920926130115793
2022-04-06,-0.004308655070577794
2022-04-07,0.01898951185784057
2022-04-08,0.03910792842938626
2022-04-11,-0.031772340740816175
2022-04-12,0.0187680963287214
2022-04-13,0.01074141969612259
2022-04-14,0.0019538494376634906
2022-04-18,0.013293303204888897
2022-04-19,-0.007789488858779958
2022-04-20,-0.0037782664775263706
2022-04-21,-0.04779770728939722
2022-04-22,-0.025434768997502546
2022-04-25,-0.03818837096337148
2022-04-26,-0.003660185202143096
2022-04-27,0.019914273012384156
2022-04-28,0.026108351562005448
2022-04-29,-0.02545995692652624
2022-05-02,0.008458901415927228
2022-05-03,0.038323991413155394
2022-05-04,0.03290948840061586
2022-05-05,-0.02600584722403319
2022-05-06,0.01991108230940083
2022-05-09,-0.10771932692875061
2022-05-10,0.013199322271908355
2022-05-11,0.018563121126638073
2022-05-12,0.0017277435391519383
2022-05-13,0.047452718709545344
2022-05-16,0.03142094101171669
2022-05-17,0.020180350783266278
2022-05-18,-0.04843999880045933
2022-05-19,-0.003448256438604835
2022-05-20,-0.0038581624136791674
2022-05-23,0.04593044558059902
2022-05-24,-0.004710557966017192
2022-05-25,0.022298976760577436
2022-05-26,0.010373723701978511
2022-05-27,0.020719350964873783
2022-05-31,-0.008899803182629706
2022-06-01,0.002085396387840396
2022-06-02,0.006890670030799585
2022-06-03,-0.0018863840663960077
2022-06-06,0.0015980395422930174
2022-06-07,0.018404092507387095
2022-06-08,-0.02144803741287865
2022-06-09,-0.028975607203129326
2022-06-10,-0.018740254887228
2022-06-13,-0.04894139654658811
2022-06-14,0.009227056035640613
2022-06-15,-0.0027754843889784115
2022-06-16,-0.045889672215547496
2022-06-17,-0.0242433761742872
2022-06-21,0.02790047144237773
2022-06-22,-0.037034693342131865
2022-06-23,-0.03764785863725927
2022-06-24,0.028724129447654647
2022-06-27,0.028958654518716265
2022-06-28,0.016971519604059272
2022-06-29,-0.027816007621645555
2022-06-30,-0.019462009466472044
2022-07-01,0.005531091917456311
2022-07-05,-0.03448264964424312
2022-07-06,-0.011899419800967039
2022-07-07,0.04689268852659934
2022-07-08,0.0037353916288775492
2022-07-11,-0.0063972406809066126
2022-07-12,-0.019056685651844523
2022-07-13,0.011163148491280762
2022-07-14,-0.007410152359692225
2022-07-15,0.02340295101763066
2022-07-18,0.01540868031838828
2022-07-19,0.03339791856461178
2022-07-20,0.021818623738064778
2022-07-21,0.00017645942530511959
2022-07-22,-0.012497026126285195
2022-07-25,0.042024710705707576
2022-07-26,-0.010988914068756453
2022-07-27,0.021514883052203625
2022-07-28,-0.0008894268354629919
2022-07-29,0.024764939212365788
2022-08-01,2.6178302437885193e-05
2022-08-02,-0.008984504062877752
2022-08-03,-0.0032732118093081524
2022-08-04,-0.005083063338809569
2022-08-05,-0.0024795355543020367
2022-08-08,0.0006883079101951293
2022-08-09,0.003887349885406532
2022-08-10,0.0051176962298247535
2022-08-11,-0.0037846558520771905
2022-08-12,0.00716262915905458
2022-08-15,0.0057118802933469725
2022-08-16,0.0022420322150576094
2022-08-17,0.005129087004136235
2022-08-18,0.00544706154189143
2022-08-19,-0.002781472335870938
2022-08-22,-0.0064149979620787495
2022-08-23,-0.004100217584994348
2022-08-24,0.0058528799966635296
2022-08-25,0.0015258105407744194
2022-08-26,-0.01727161516268726
2022-08-29,-0.0010280426183295946
2022-08-30,-0.012321453164721163
2022-08-31,-0.0006046565424668851
2022-09-01,-0.016146844710026823
2022-09-02,0.002580709640653589
2022-09-06,-0.004321077133885454
2022-09-07,0.022325431175588217
2022-09-08,0.014304514780638647
2022-09-09,0.011561067194326704
2022-09-12,0.0026156001828638083
2022-09-13,-0.02863737418168594
2022-09-14,0.013454943647871344
2022-09-15,-0.02085867546732657
2022-09-16,0.0013884941217486063
2022-09-19,0.006072853909988362
2022-09-20,-0.011720564716163707
2022-09-21,-0.006312148238166481
2022-09-22,-0.02376057734792739
2022-09-23,-0.021521136412550258
2022-09-26,-0.00855220097385737
2022-09-27,0.013710365604115872
2022-09-28,0.027987387783223187
2022-09-29,-0.020597808977472116
2022-09-30,-0.0025641776641518116
2022-10-03,0.02442823673408885
2022-10-04,0.039267130134776146
2022-10-05,-0.008196426175705773
2022-10-06,-0.003548195558036404
2022-10-07,-0.02916268809680254
2022-10-10,-0.009240540714233459
2022-10-11,-0.0009163739666112405
2022-10-12,-0.018065099585330282
2022-10-13,0.018726846963598956
2022-10-14,-0.02541941129858211
2022-10-17,0.025795921704885483
2022-10-18,0.016372185410521593
2022-10-19,-0.008981253930610356
2022-10-20,0.00546616748970531
2022-10-21,0.032358918290181206
2022-10-24,0.0029248656777300713
