date,BH SPY,BH QQQ,BH SPMO,ST | StockMom6_top20,ST | StockMom12-1_top10,ST | ETF_Mom6_top2
2016,2.0265644255786253,0.662701784197095,-0.21236102844460758,0.0,0.0,0.0
2017,19.384422672571965,31.46522619851455,26.693667157584745,32.19973533330425,4.118257431804051,14.68978548296298
2018,-6.3478977741138864,-0.9630200308167303,-1.8889857599536763,14.319474195210201,-1.545535036911616,-3.8290455474126017
2019,28.78521126760556,37.82574873590065,24.140995260663423,47.03823630418438,46.69448637171114,5.670493434125956
2020,16.162306592928743,47.565965852970194,26.24671916010506,64.08410602424628,78.67075128742688,34.89201684776992
2021,27.035412431796345,26.808822591955405,21.942921942921668,29.02645348471571,22.517396945952605,21.177095485117615
2022,-19.481640559204948,-33.070252607766726,-11.99628022318655,3.366803916215666,-0.8465699249737169,-16.935087582005092
2023,24.286797583871554,53.79299984978212,15.349947164494537,29.636496042786597,26.415437355572124,25.48989722235595
2024,23.304790557741196,24.836393826919135,45.06295833161549,30.014670285628675,88.41615320326484,23.04082718913143
2025,16.3527163527164,20.16313596619903,25.58678033891182,42.460924443351814,40.18677894876541,18.53192462097464
2026,13.84619896762105,19.00669043316896,28.48642306402944,65.11717720480247,111.28466704401858,34.10420992804901
