period,skip,top,is_sharpe,oos_sharpe,full_sharpe,is_ann,oos_ann,full_ann,oos_mdd,oos_final
9,0,10,1.339883058539937,3.1854572531444942,1.3098237024448531,0.4234300453050066,1.2501735403496075,0.4541694462402317,-0.3547623677679448,844373.9995453398
6,1,10,1.5399194689694353,3.093273778279009,1.288360736158751,0.47734679655273804,1.212895601296284,0.44299692449613026,-0.39956919590428663,781721.4785487354
3,0,10,1.5504016574061343,3.0643995757869087,1.2844455231141616,0.4408495013329605,1.0708185391956015,0.39945836754456554,-0.3092183866854621,575507.0142507467
3,1,10,1.6471718994710391,2.892703205842631,1.2203575910842401,0.47999111523021276,1.0335561836127742,0.3877752804615109,-0.3614269645548702,529244.9361123642
9,1,10,1.3387354844739536,2.891322606688485,1.1987589976623942,0.43358188155099997,1.1417776034232476,0.4213976715962051,-0.3696837037593469,672326.1110625835
6,0,10,1.3670343068776845,2.879263054743695,1.2188530128924497,0.41384949161521667,1.102237812130519,0.40922179205006715,-0.40376996732107984,616924.9182268996
6,0,20,1.3674547188950748,2.736449997173204,1.1667197306193344,0.3686746680982107,0.8685915949336256,0.33461435168539677,-0.3248888990133557,358171.03262563556
12,0,10,0.8999961797969926,2.7302938995466053,1.144542260237823,0.2942585231133752,1.1025749299960705,0.4093261227399252,-0.3767981587360685,617381.6248347034
3,1,20,1.6001045436560086,2.67451967106039,1.1345927159634035,0.4130040051071884,0.780386434817111,0.3051493871654236,-0.31957989884004834,286532.08789525967
9,0,20,1.1320539255946747,2.554539939200871,1.093316045842283,0.3165966258077342,0.8389008485597944,0.3247814280028378,-0.32665249184518996,332650.061288666
3,0,20,1.538293610047637,2.510019601147296,1.0852997645470273,0.3796164056179052,0.7149258021136324,0.28277059874039634,-0.31097775210648027,241040.93641630324
12,0,20,0.8483338989716783,2.5088534152427306,1.0684621246789654,0.24299240986421644,0.8326307616697342,0.32269400672463444,-0.33275670941867086,327447.6448286429
6,1,20,1.3812356444301908,2.501246148227481,1.0781142494387226,0.3811600695803452,0.8167746398320088,0.3173980110063226,-0.3567731373231956,314575.5483529865
9,1,20,1.1893305577295228,2.4580516102630607,1.0540413990220678,0.3389326426303976,0.8201768097579041,0.3185364368606389,-0.3308412807108807,317303.4519756614
12,1,10,0.844377358369198,2.3061697722790355,0.9959534457247972,0.2735473457580968,0.9282740555069435,0.35412853853186244,-0.35081266056919136,414101.1590518566
12,1,20,0.7687864311494101,2.004288001060648,0.8752105545513778,0.2222740391307334,0.6647447128007942,0.26530215533468615,-0.3270888058839876,210168.16925756767
